,state,total
1,California,97971
2,Colorado,3640
3,Connecticut,27003
4,District of Columbia,111
5,Florida,5348
6,Illinois,97838
7,Indiana,86193
8,Kansas,17876
9,Kentucky,3170
10,Maryland ,19680
11,Massachusetts,11046
12,Michigan,24373
13,Missouri,52021
14,Nebraska,13075
15,New Jersey,144693
16,New York,48678
17,Ohio,19783
18,Pennsylvania,58714
19,Rhode Island,2956
20,Tennessee,8596
21,Virginia,4782
22,Washington ,12050
23,West Virginia,18323
24,Wisconsin,3978
25,"Alabama,Georgiaand Mississippi",40933
26,Arkansas and Oklahoma,5760
27,Hawaii and Oregon,3365
28,Iowa and Minnesota,8799
29,Louisana and Texas,128243
30,Montana and Idaho,9235
31,New Hampshire Maine and Delaware,3497
32,North and South Carolina,2933
33,UtahNevadaand Arizona,686
34,Undistributed,1022
35,Total,986376
