,state,total
1,California,102426
2,Connecticut,7020
3,Florida,19213
4,Georgia ,35124
5,Illinois,71972
6,Indiana ,267292
7,Kansas,30230
8,Kentucky,24529
9,Massachusetts,1018
10,Michigan,27337
11,Missouri,30397
12,New Jersey ,47991
13,New York,34033
14,Ohio,34450
15,Pennsylvania,171451
16,Tennessee,13811
17,Alabama and Mississippi,22369
18,Arkansas and Oklahoma,1798
19,Colorado and Nebraska,1055
20,District of Columbia and Maryland   ,92
21,Hawaii and Oregon,13572
22,Idaho Montana and Washington,13084
23,Iowa and Minnesota,51124
24,Louisiana and Texas,101984
25,New Hampshire Maine Vermont Delaware ,28306
26,North Carolina and South Carolina,69350
27,Rhode Island and Wisconsin  ,4021
28,Utah Nevada Arizona,2856
29,Virginia and West Virginia  ,2482
30,Total ,1230387
