,state,total
1,California,95096
2,Colorado ,694
3,Connecticut,7469
4,District of Columbia,5
5,Florida,17002
6,Georgia ,31243
7,Illinois,70228
8,Indiana,238923
9,Kansas,22441
10,Kentucky,20585
11,Maryland,69
12,Massachusetts,869
13,Michigan,26531
14,Missouri,28314
15,Nebraska ,827
16,New Jersey ,43274
17,New York,29427
18,Ohio,35067
19,Pennsylvania,169593
20,Rhode Island,1720
21,Tennessee,6399
22,Washington,13156
23,Wisconsin,1014
24,Alabama and Mississippi,18442
25,Arkansas and Oklahoma,2385
26,Hawaii and Oregon,14294
27,Towa and Minnesota,37479
28,Louisiana and Texas,94233
29,Montana and Idaho,32
30,New Hampshire Maine Vermont Delaware,27793
31,North Carolina and South Carolina,67599
32,Utah Nevada Arizona ,404
33,Virginia and West Virginia,2240
34,Total ,1124847
