,state,total
1,California ,127784
2,Colorado,3709
3,Connecticut ,35245
4,District of Columbia,150
5,Plorida,11532
6,Georgia,58436
7,Illinois,143027
8,Indiana,121641
9,Kansas,20612
10,Kentucky ,9911
11,Maryland ,21954
12,Massachusetts,5253
13,Michigan,41351
14,Missouri,53310
15,Nebraska,4625
16,New Jersey,158984
17,New York,52732
18,Ohio,22184
19,Pennsylvania,87061
20,Rhode Island,1761
21,Tennessee,12087
22,Virginia,4479
23,Washington,7455
24,West Virginia,22006
25,Wisconsin ,6062
26,Alabama and Mississippi,4491
27,Arkansas and Oklahoma,7116
28,Hawaii and Oregon,3612
29,Iowa and Minnesota,12363
30,Louisiana and Texas,205424
31,Montana and Idaho,4691
32,New Hampshire Maine Vermont Delaware,12991
33,North and South Carolina,4639
34,Utah Nevada Arizona,89
35,Total,1288767
