,state,total
1,California,137018
2,Colorado,4452
3,Connecticut,22001
4,District of Columbia ,114
5,Florida,14853
6,Georgia,76672
7,Tilinois,154594
8,Indiana,150803
9,Kansas,21402
10,Kentucky ,18416
11,Maryland,15416
12,Massachusetts,3321
13,Michigan,35643
14,Missouri,44456
15,Nebraska,6629
16,New Jersey,162773
17,New York,57536
18,Ohio,26062
19,Pennsylvania,109528
20,Rhode Island,2048
21,Tennessee,25771
22,Virginia,4253
23,Washington,16157
24,West Virginia,17879
25,Wisconsin,13967
26,"Alabama and Mississippi ,",10813
27,"Arkansas and Oklahoma ,",9143
28,Hawaii and Oregon,12905
29,Iowa and Minnesota,21057
30,Louisiana and Texas,252269
31,Montana and Idaho ,697
32,New Hampshire Maine Vermont Delaware,25647
33,North and South Carolina,10924
34,Utah Nevada Arizona,35
35,Total,1485254
