,state,total
1,California ,145916
2,Colorado,961
3,Connecticut ,18018
4,District of Columbia,189
5,Florida,16127
6,Georgia,75680
7,Illinois ,122674
8,Indiana,136827
9,Kansas,19596
10,Kentucky,13945
11,Maryland,5031
12,Massachusetts,1496
13,Michigan,31147
14,Missouri,27372
15,Nebraska,5258
16,New Jersey,96720
17,New York ,40831
18,Ohio,19791
19,Pennsylvania,133909
20,Rhode Island ,3716
21,Tennessee,22460
22,Virginia,4349
23,Washington,14921
24,West Virginia,11858
25,Wisconsin,13203
26,Alabama and Mississippi,12455
27,Arkansas and Oklahoma,6139
28,Hawaii and Oregon,15775
29,Iowa and Minnesota,28585
30,Louisiana and Texas ,205925
31,Montana and Idaho,697
32,New Hampshire Maine Vermont Delaware ,19343
33,North and South Carolina ,25434
34,Utah Nevada Arizona,800
35,Total,1297098
