,state,total
1,California,93482
2,Colorado,2918
3,Connecticut,23169
4,District of Columbia,186
5,Florida,4555
6,Illinois,104588
7,Indiana,69021
8,Kansas,12219
9,Kentucky,2258
10,Maryland,17720
11,Massachusetts,9735
12,Michigan,18895
13,Missouri,48383
14,Nebraska,14495
15,New Jersey,136481
16,New York,59538
17,Ohio,38449
18,Pennsylvania,50886
19,Rhode Island,4782
20,Tennessee ,6334
21,Virginia,4702
22,Washington,12371
23,West Virginia,16006
24,Wisconsin,3726
25,Alabama and Georgia,31374
26,Iowa and Minnesota,8448
27,Montana and Idaho,10967
28,New Hampshire Maine and Delaware,5819
29,Arkansas and Oklahoma,3523
30,Hawaii and Oregon,3134
31,North and South Carolina,2426
32,Louisiana and Texas,128435
33,Utah Nevada and Arizona,713
34,Undistributed,660
35,Total,945363
