,state,total
1,California,108980
2,Colorado,4133
3,Connecticut,26780
4,District of Columbia,123
5,Florida,10410
6,Georgia,46757
7,Illinois,141606
8,Indiana,113988
9,Kansas,17496
10,Kentucky,7399
11,Maryland,21104
12,Massachusetts,10514
13,Michigan,39246
14,Missouri,27988
15,Nebraska,6663
16,New Jersey,164035
17,New York,48430
18,Ohio,22543
19,Pennsylvania,83948
20,Rhode Island,1821
21,Tennessee,7746
22,Virginia ,5506
23,Washington,9494
24,West Virginia,23253
25,Wisconsin,5791
26,Alabama and Mississippi,2739
27,Arkansas and Oklahoma,6421
28,Hawaii and Oregon,3578
29,Towa and Minnesota,10958
30,Louisiana and Texas,151669
31,Montana and Idaho,10152
32,New Hampshire Maine Delaware,10007
33,North and South Carolina,4381
34,Utah Nevada Arizona,126
35,Total,1155785
