,state,total
1,California ,138309
2,Colorado ,901
3,Connecticut ,21530
4,District of Columbia,64
5,Florida ,23258
6,Georgia ,98106
7,Illinois,104228
8,Indiana  ,143823
9,Kansas,39406
10,Kentucky,18442
11,Maryland,3007
12,Massachusetts,1048
13,Michigan  ,41990
14,Missouri ,42564
15,Nebraska,5414
16,New Jersey,86111
17,New York ,38252
18,Ohio,18786
19,Pennsylvania ,164954
20,Rhode Island,3084
21,Tennessee,19102
22,Virginla,3485
23,Washington ,10975
24,West Virginia ,10309
25,Wisconsin,17841
26,Alabama and Mississippi ,19316
27,Arkansas and Oklahoma,9526
28,Hawaii and Oregon,17216
29,Iowa and Minnesota ,31712
30,Louisiana and Texas ,237098
31,Montana and Idaho  ,425
32,New Hampshire Maine Vermont Delaware,26531
33,North and South Carolina,38999
34,Utah Nevada Arizona ,1932
35,Total ,1482744
