,state,total
1,Califomia Oregon and Washington   ,208000
2,Florida and Georgia    ,15200
3,Illinois,46700
4,Iowa Michigan and Missouri ,99600
5,Ohio and Pennsylvania,207000
6,Arkansas and Texas,75200
7,Alabama Louisiana Mississippi and Oklahoma ,9330
8,Colorado Indiana Kansas Kentucky MinnesotaNebraska Tennessee and Wisconsin ,773000
9,Connecticut Delaware Maine Maryland Massachusetts New Hampshire New Jersey New York North Carolina Rhode Island South Carolina and Vermont,96700
10,Total,1530000
