,state,total
1,California,96705
2,Colorado,1336
3,Connecticut ,13974
4,District of Columbia,13
5,Florida ,27586
6,Georgia,37549
7,Illinois,66054
8,Indiana,260726
9,Kansas,23000
10,Kentucky,24392
11,Maryland ,792
12,Massachusetts,1441
13,Michigan,25205
14,Missouri,23605
15,Nebraska,1405
16,New Jersey,59045
17,New York,20089
18,Ohio,34309
19,Pennsylvania,163993
20,Rhode Island,2231
21,Tennessee,4139
22,Virginia and West Virginia,1737
23,Washington,12957
24,Wisconsin,4249
25,Alabama and Mississippi,15698
26,Arkansas and Oklahoma,2257
27,Hawaii and Oregon,15204
28,Iowa and Minnesota ,36974
29,Louisiana and Texas,135126
30,Montana and Idaho  ,69
31,New Hampshire Maine Vermont Delaware,27504
32,North Carolina and South Carolina ,66425
33,Utah Nevada Arizona,1244
34,Total ,1207033
