,state,total
1,Arizona and California ,81402
2,Florida ,9689
3,Georgia ,41763
4,Illinois ,72568
5,Michigan ,27563
6,Missouri ,27588
7,Ohio ,38073
8,Pennsylvania ,155903
9,Texas ,120940
10,Alabama Louisiana Mississippi Arkansas Oklahoma ,58921
11,Delaware and New Jersey ,55057
12,Indiana Kansas Kentucky Tennessee ,359632
13,North Carolina and South Carolina ,86048
14,Connecticut Massachusetts Rhode Island ,4492
15,District of Columbia Maryland Virginia West Virginia ,156
16,Idaho Oregon Washington ,24698
17,Maine New Hampshire New YorkVermont ,42761
18,Iowa Minnesota Nebraska Wisconsin ,67978
19,Total,1275233
