,state,total
1,California,128062
2,Colorado,4113
3,Connecticut,26942
4,District of Columbia,129
5,Florida,11190
6,Georgia,71878
7,Illinois,155265
8,Indiana,136885
9,Kansas,24142
10,Kentucky,20311
11,Maryland,22797
12,Massachusetts,3278
13,Michigan,37055
14,Missouri,45934
15,Nebraska,8253
16,New Jersey,155216
17,New York,57098
18,Ohio,18761
19,Pennsylvania,120842
20,Rhode Island,1545
21,Tennessee,16567
22,Virginia,4187
23,Washington,13870
24,West Virginia,20963
25,Wisconsin,12675
26,Alabama and Mississippi,7538
27,Arkansas and Oklahoma,8701
28,Hawaii and Oregon,6950
29,Jowa and Minnesota,16547
30,"Louisiana and Texas,",244267
31,Montana and Idaho,692
32,New Hampshire Maine Vermont Delaware,19831
33,North and South Carolina,8996
34,Utah Nevada Arizona,34
35,Total,1431514
