,state,total
1,California ,92498
2,Colorado,1365
3,Connecticut,8300
4,District of Columbia,5
5,Florida ,20407
6,Georgia,34727
7,Illinois,70588
8,Indiana ,234730
9,Kansas,23373
10,Kentucky,22896
11,Maryland,87
12,Massachusetts ,796
13,Michigan ,26441
14,Missouri,29028
15,Nebraska ,1108
16,New Jersey,49465
17,New York,25432
18,Ohio,37350
19,Pennsylvania,166409
20,Rhode Island,1975
21,Tennessee,11229
22,Virginia and West Virginia ,1688
23,Washington ,13891
24,Wisconsin,1135
25,Alabama and Mississippi ,17810
26,Arkansas and Oklahoma ,2286
27,Hawaii and Oregon,13415
28,Iowa and Minnesota ,34566
29,Louisiana and Texas,108233
30,Montana and Idaho,76
31,New Hampshire Maine Vermont Delaware,28528
32,North Carolina and South Carolina,68056
33,Utah Nevada Arizona  ,405
34,Total ,1148298
