,state,total
1,California ,100215
2,Colorado ,751
3,Connecticut,22251
4,District of Columbia ,23
5,Florida ,18621
6,Georgia,52187
7,Illinois,43943
8,Indiana,117940
9,Kansas,35752
10,Kentucky,22309
11,Maryland,863
12,Massachusetts,1532
13,Michigan ,18095
14,Missouri ,27001
15,Nebraska,2915
16,New Jersey,101966
17,New York ,23863
18,Ohio,18486
19,Pennsylvania ,149421
20,Rhode Island ,2980
21,Tennessee,11637
22,Virginia and West Virginia,1382
23,Washington ,10531
24,Wisconsin,16515
25,Alabama and Mississippi ,11595
26,Arkansas and Oklahoma,3715
27,Hawaii and Oregon,10637
28,Iowa and Minnesota,25121
29,Louisiana and Texas ,148825
30,Montana and Idaho,316
31,New Hampshire Maine Vermont Delaware,25186
32,North Carolina and South Carolina,48448
33,Utah Nevada Arizona,386
34,Total ,1075408
