,state,total
1,Califomia Oregon and Washington   ,44200
2,Florida and Georgia    ,18300
3,Illinois,53400
4,Iowa Michigan and Missouri ,117000
5,Ohio and Pennsylvania,204000
6,Arkansas and Texas,70200
7,Alabama Louisiana Mississippi and Oklahoma ,6420
8,Colorado Indiana Kansas Kentucky MinnesotaNebraska Tennessee and Wisconsin ,554000
9,Connecticut Delaware Maine Maryland Massachusetts New Hampshire New Jersey New York North Carolina Rhode Island South Carolina and Vermont,91500
11,Various States,474000
10,Total,1630000
