,state,total
1,Califomia Oregon and Washington   ,51100
2,Florida and Georgia    ,19700
3,Illinois,53900
4,Iowa Michigan and Missouri ,103000
5,Ohio and Pennsylvania,221000
6,Arkansas and Texas,65900
7,Alabama Louisiana Mississippi and Oklahoma ,7880
8,Colorado Indiana Kansas Kentucky MinnesotaNebraska Tennessee and Wisconsin ,625000
9,Connecticut Delaware Maine Maryland Massachusetts New Hampshire New Jersey New York North Carolina Rhode Island South Carolina and Vermont,86500
11,Various States,451000
10,Total,1680000
