,state,total
1,California,109224
2,Colorado,4187
3,Connecticut,24042
4,District of Columbia,109
5,Florida,5175
6,Illinois,119289
7,Indiana,103754
8,Kansas,20239
9,Kentucky,2719
10,Maryland,19506
11,Massachusetts,9975
12,Michigan,32073
13,Missouri,43231
14,Nebraska,6073
15,New Jersey,148381
16,New York,49129
17,Ohio,25515
18,Pennsylvania,78828
19,Rhode Island,3065
20,Tennessee,7859
21,Virginia,4552
22,Washington,11485
23,West Virginia,21810
24,Wisconsin,3947
25,Alabama Georgia Mississippi,47752
26,Arkansas and Oklahoma,6349
27,Hawaii and Oregon,3565
28,Iowa and Minnesota,11406
29,Louisiana and Texas,122776
30,Montana and Idaho,11146
31,New Hampshire Maine Delaware,6942
32,North and South Carolina,4407
33,Utah Nevada Arizona,669
34,Undistributed,1017
35,Total,1070196
