,state,total
1,Califomia Oregon and Washington   ,58400
2,Florida and Georgia    ,23000
3,Illinois,58000
4,Iowa Michigan and Missouri ,70100
5,Ohio and Pennsylvania,212000
6,Arkansas and Texas,65900
7,Alabama Louisiana Mississippi and Oklahoma ,12100
8,Colorado Indiana Kansas Kentucky MinnesotaNebraska Tennessee and Wisconsin ,568000
9,Connecticut Delaware Maine Maryland Massachusetts New Hampshire New Jersey New York North Carolina Rhode Island South Carolina and Vermont,80200
10,Various States,443000
11,Total,1590000
