,state,total
1,Arizona California Oregon Washington,106499
2,Florida ,10044
3,Georgia ,37550
4,Illinois ,71500
5,Michigan ,27706
6,Missouri ,28828
7,Ohio and Pennsylvania ,197857
8,Texas ,105568
9,Alabama Arkansas Louisiana Mississippi Oklahoma ,60854
10,Colorado Indiana Iowa Kansas Kentucky Minnesota Nebraska Tennessee Wisconsin ,419934
11,Delaware Maryland New Jersey North Carolina South Carolina ,133613
12,Connecticut Maine Massachusetts New Hampshire New York Rhode Island Vermont ,46384
13,Total,1246337
