,state,total
1,California ,120258
2,Colorado  ,1028
3,Connecticut  ,22466
4,District of Columbia  ,43
5,Florida,18833
6,Georgia ,65525
7,Illinois ,59833
8,Indiana ,107526
9,Kansas,25246
10,Kentucky,15649
11,Maryland ,2658
12,Massachusetts,1480
13,Michigan,20496
14,Missouri ,28162
15,Nebraska ,4797
16,New Jersey ,81395
17,New York ,29360
18,Ohio,12298
19,Pennsylvania  ,130837
20,Rhode Island ,4260
21,Tennessee  ,13832
22,Virginia ,2143
23,Washington  ,6942
24,West Virginia  ,92
25,Wisconsin,15436
26,Alabama and Mississippi  ,14530
27,Arkansas and Oklahoma  ,5350
28,Hawaii and Oregon ,8901
29,Iowa and Minnesota  ,25324
30,Louisiana and Texas  ,168570
31,Montana and Idaho ,1889
32,New Hampshire Maine Vermont Delaware,20587
33,North Carolina and South Carolina   ,34452
34,Utah Nevada Arizona,155
35,Total ,1070303
