,state,total
1,California,101502
2,Colorado,3824
3,Connecticut,26594
4,District of Columbia,158
5,Florida,6107
6,Illinois,108680
7,Indiana,83158
8,Kansas,16387
9,Kentucky,2385
10,Maryland,16434
11,Massachusetts,11214
12,Michigan,25365
13,Missouri,53422
14,Nebraska,14004
15,New Jersey,148181
16,New York,65330
17,Ohio,42280
18,Pennsylvania,60897
19,Rhode Island,3345
20,Tennessee ,6902
21,Virginia,4864
22,Washington ,13188
23,West Virginia,16498
24,Wisconsin,4469
25,Alabama and Georgia,40108
26,Iowa and Minnesota,8208
27,Montana and Idaho,15535
28,New Hampshire Maine and Delaware,5591
29,Arkansas and Oklahoma,4557
30,Hawaii and Oregon,3243
31,North and South Carolina,3090
32,Louisiana and Texas,129768
33,Utah Nevada and Arizona,790
34,Undistributed,1387
35,Total,1047465
