,state,total
1,Alabama,710
2,California,67260
3,Colorado,3502
4,Connecticut,26142
5,District of Columbia,116
6,Florida,1452
7,Georgia,24603
8,Illinois,137191
9,Indiana,89610
10,Towa,254
11,Kamnsas,6148
12,Kentucky,299
13,Maryland,40470
14,Massachusetts,13352
15,Michigan,23080
16,Minnesota,10990
17,Missouri,51761
18,Nebraska ,13476
19,New Jersey,174462
20,New York,58595
21,Ohio,45854
22,Pennsylvania,78122
23,Rhode Island,4665
24,Tennessee,5851
25,Virginia,4929
26,Washington,9443
27,West Virginia,18193
28,Wisconsin,22328
29,Louisiana and Texas,135109
30,Montana and Idaho,5578
31,Oregon and Hawaii,3030
32,Utah and Nevada,135
33,Arkansas and Oklahoma,5099
34,North and South Carolina,175
35,New Hampshire Maine and Delaware,4918
36,Total,1086902
