,state,total
1,California,100408
2,Colorado,3361
3,Connecticut,25237
4,District of Columbia,173
5,Florida,5206
6,Illinois,98785
7,Indiana,87450
8,Kansas,16076
9,Kentucky,2356
10,Maryland,19554
11,Massachusetts,11495
12,Michigan,25125
13,Missouri,56174
14,Nebraska,14339
15,New Jersey,145186
16,New York,52403
17,Ohio,20996
18,Pennsylvania,57781
19,Rhode Island,2779
20,Tennessee,7509
21,Virginia,4364
22,Washington,12903
23,West Virginia,16075
24,Wisconsin,3700
25,Alabama Georgia and Mississippi,37640
26,Arkansas and Oklahoma,4930
27,Hawaii and Oregon,3046
28,Jowa and Minnesota,8405
29,Louisana and Texas,124001
30,Montana and Idaho,1396
31,New Hampshire Maine and Delaware,4933
32,North and South Carolina,2493
33,Utah Nevada and Arizona,716
34,Undistributed,936
35,Total,977931
