,state,total
1,California ,118096
2,Colorado ,892
3,Connecticut,22542
4,District of Columbia ,25
5,Florida ,20141
6,Georgia   ,77538
7,Illinois,53600
8,Indiana   ,127458
9,Kansas,35903
10,Kentucky,15586
11,Maryland,1332
12,Massachusetts,1783
13,Michigan,17762
14,Missouri ,28742
15,Nebraska,3207
16,New Jersey ,97078
17,New York,33553
18,Ohio,23728
19,Pennsylvania ,171723
20,Rhode Island ,3455
21,Tennessee,14636
22,Virginia and West Virginia,2186
23,Washington ,10867
24,Wisconsin ,14803
25,Alabama and Mississippi,14254
26,Arkansas and Oklahoma ,3309
27,Hawaii and Oregon,8110
28,Iowa and Minnesota,28436
29,Louisiana and Texas,148943
30,Montana and Idaho,771
31,New Hampshire Maine Vermont Delaware,23730
32,North Carolina and South Carolina,41998
33,Utah Nevada Arizona,914
34,Total ,1167101
