,state,total
1,California,139396
2,Colorado,4345
3,Connecticut,26635
4,District of Columbia,136
5,Florida,12348
6,Georgia,63993
7,Illinois,122447
8,Indiana ,116949
9,Kansas,21457
10,Kentucky,10767
11,Maryland,14131
12,Massachusetts,5953
13,Michigan,38862
14,Missouri,47492
15,Nebraska,5298
16,New Jersey,162530
17,New York,51779
18,Ohio,15828
19,Pennsylvania,103508
20,Rhode Island,2175
21,Tennessee,13855
22,Virginia,4095
23,Washington,9104
24,West Virginia,23059
25,Wisconsin ,8344
26,Alabama and Mississippi,6090
27,Arkansas and Oklahoma,7483
28,Hawaii and Oregon,5989
29,Iowa and Minnesota,16331
30,Louisiana and Texas,237587
31,Montana and Idaho,1344
32,New Hampshire Maine Vermont Delaware,18213
33,North and South Carolina,6571
34,Utah Nevada Arizona,39
35,Total ,1324128
