,state,total
1,California,135034
2,Colorado ,2483
3,Connecticut  ,21955
4,District of Columbia ,118
5,Florida ,13735
6,Georgia ,87206
7,Illinois ,153209
8,Indiana  ,171780
9,Kansas ,22547
10,Kentucky ,21270
11,Maryland ,12476
12,Massachusetts ,3882
13,Michigan  ,37744
14,Missouri ,43009
15,Nebraska  ,7576
16,New Jersey ,153392
17,New York ,64388
18,Ohio ,27720
19,Pennsylvania ,124147
20,Rhode Island ,4201
21,Tennessee ,19283
22,Virginia  ,5028
23,Washington  ,18727
24,West Virginia ,20551
25,Wisconsin,16648
26,Alabama and Mississippi ,13755
27,Arkansas and Oklahoma ,9491
28,Hawaii and Oregon ,11040
29,Iowa and Minnesota ,23249
30,Louisiana and Texas ,256837
31,Montana and Idaho ,842
32,New Hampshire Maine Vermont Delaware ,20709
33,North and South Carolina ,17144
34,Utah Nevada Arizona,3838
35,Total  ,1541209
