,state,total
1,Alabama,696
2,California,87268
3,Colorado,3425
4,Connecticut,29870
5,District of Columbia,181
6,Florida,2041
7,Georgia,27139
8,Illinois,146682
9,Indiana,104665
10,Towa,241
11,Kansas,6225
12,Kentucky,31
13,Maryland ,37343
14,Massachusetts,15791
15,Michigan ,29373
16,Minnesota,13086
17,Missouri,53796
18,Nebraska,12577
19,New Jersey ,203959
20,New York,67781
21,Ohio,54106
22,Pennsylvania,76890
23,Rhode Island,5474
24,Tennessee,7738
25,Virginia,6067
26,Washington,11294
27,West Virginia,20218
28,Wisconsin,5362
29,Louisiana and ‘Texas ,141740
30,Montana and Idaho,7624
31,Oregon and Hawaii,4890
32,Utah Nevada and Arizona,448
33,Arkansas and Oklahoma,4804
34,North and South Carolina,2055
35,New Hampshire Maine and Delaware,6564
36,Undistributed,5140
37,Total,1202784
