,state,total
1,Califomia Oregon and Washington   ,46700
2,Florida and Georgia    ,33000
3,Illinois,54400
4,Iowa Michigan and Missouri ,107000
5,Ohio and Pennsylvania,225000
6,Arkansas and Texas,55200
7,Alabama Louisiana Mississippi and Oklahoma ,7100
8,Colorado Indiana Kansas Kentucky MinnesotaNebraska Tennessee and Wisconsin ,518000
9,Connecticut Delaware Maine Maryland Massachusetts New Hampshire New Jersey New York North Carolina Rhode Island South Carolina and Vermont,103000
11,Various States,445000
10,Total,1600000
