,state,total
1,California,84746
2,Colorado,3710
3,Connecticut,30732
4,District of Columbia,184
5,Florida,4608
6,Illinois,126986
7,Indiana,90816
8,Kansas,9951
9,Kentucky,589
10,Maryland,37687
11,Massachusetts,14070
12,Michigan,21903
13,Missouri,58791
14,Nebraska,14206
15,New Jersey,196547
16,New York,69915
17,Ohio,43920
18,Pennsylvania,67144
19,Rhode Island,7639
20,Tennessee,6734
21,Virginia,6816
22,Washington,7434
23,West Virginia,18978
24,Wisconsin,4779
25,Alabama and Georgia ,31814
26,Iowa and Minnesota,9020
27,Montana and Idaho,7994
28,New Hampshire Maine and Delaware,4100
29,Arkansas and Oklahoma,4286
30,Hawaii and Oregon,3751
31,North and South Carolina,2750
32,Louisiana and Texas,158713
33,Utah Nevada and Arizona,669
34,Undistributed,4175
35,Total,1156157
