,state,total
1,California,135868
2,Colorado,3946
3,Connecticut,30706
4,District of Columbia,153
5,Florida,11684
6,Georgia,61907
7,Illinois,140171
8,Indiana,129778
9,Kansas,23034
10,Kentucky,10533
11,Maryland,18473
12,Massachusetts,6856
13,Michigan,39552
14,Missouri,54444
15,Nebraska,5326
16,New Jersey,168513
17,New York,55416
18,Ohio,20704
19,Pennsylvania,96012
20,Rhode Island,2085
21,Tennessee,13651
22,Virginia,4561
23,Washington,7703
24,West Virginia,23025
25,Wisconsin ,6740
26,Alabama,84
27,Arkansas,141
28,Hawaii,156
29,Iowa,170
30,Louisiana,4080
31,Montana,69
32,New Hampshire,51
33,North and South Carolina,5726
34,Utah Nevada Arizona,88
35,Total,1351975
,Mississippi,4848
,Oklahoma,9276
,Oregon,4052
,Minnesota,11978
,Texas,219798
,Idaho,2908
,Maine,70
,Vermont,31
,Delaware,14180
