,State,total
1,California and Washington ,63800
3,Illinois ,34300
4,"Iowa, Michigan, Missouri ",25700
5,Ohio and Pennsylvania ,411000
6,Arkansas and Texas ,55500
7,"Alabama, Georgia, Oklahoma",36100
8,"Indiana, Kansas, Kentucky, Minnesota, Nebraska, Tennessee, Wisconsin",271000
9,"Connecticut, Maryland, New Jersey, New York, North Carolina, South Carolina",2330
10,Other States,643000
11,Total ,1540000
