,state,total
1,California,114509
2,Colorado ,4330
3,Connecticut ,27455
4,District of Columbia,140
5,Florida,8659
6,Georgia,45749
7,Illinois ,133402
8,Indiana ,122997
9,Kansas,18384
10,Kentucky,7316
11,Maryland,22620
12,Massachusetts,10724
13,Michigan,42938
14,Missouri,44800
15,Nebraska,6398
16,New Jersey ,165070
17,New York,51820
18,Ohio,22810
19,Pennsylvania,91869
20,Rhode Island,2338
21,Tennessee ,9212
22,Virginia,5027
23,Washington,7427
24,West Virginia,19205
25,Wisconsin,5370
26,Alabama and Mississippi,3370
27,Arkansas and Oklahoma,7190
28,Hawaii and Oregon,3348
29,Iowa and Minnesota,13182
30,Louisiana and Texas,149191
31,Montana and Idaho ,7759
32,New Hampshire Maine Delaware,10230
33,North and South Carolina,5245
34,Utah Nevada Arizona,131
35,Total ,1190215
