,state,total
1,California,117715
2,Colorado,4510
3,Connecticut,35851
4,District of Columbia,154
5,Florida,10880
6,Georgia,45865
7,Illinois,148493
8,Indiana,127994
9,Kansas,19621
10,Kentucky,6386
11,Maryland,23710
12,Massachusetts,9451
13,Michigan,42366
14,Missouri,57731
15,Nebraska,5907
16,New Jersey,167162
17,New York,57393
18,Ohio,21172
19,Pennsylvania,94274
20,Rhode Island,1508
21,Tennessee,10788
22,Virginia,4992
23,Washington,8378
24,West Virginia,23602
25,Wisconsin,6292
26,Alabama and Mississippi,3525
27,Arkansas and Oklahoma,7977
28,Hawaii and Oregon ,3861
29,Iowa and Minnesota,12807
30,Louisiana and Texas,176906
31,Montana and Idaho,6049
32,New Hampshire Maine Vermont and Delaware,9786
33,North and South Carolina,3538
34,Utah Nevada Arizona,116
35,Total,1276760
