,state,total
1,California ,169646
2,Colorado ,1051
3,Connecticut,24230
4,District of Columbia ,82
5,Florida ,23991
6,Georgia ,101530
7,Illinois ,145372
8,Indiana ,152444
9,Kansas ,42658
10,Kentucky ,18042
11,Maryland ,3838
12,Massachusetts,1143
13,Michigan ,37770
14,Missouri ,36571
15,Nebraska,5289
16,New Jersey ,123863
17,New York,34908
18,Ohio,20587
19,Pennsylvania ,184392
20,Rhode Island ,3033
21,Tennessee ,22290
22,Virginia ,4444
23,Washington ,6943
24,West Virginia ,13145
25,Wisconsin ,20005
26,Alabama and Mississippi ,17271
27,Arkansas and Oklahoma ,8324
28,Hawaii and Oregon,19530
29,Iowa and Minnesota ,31208
30,Louisiana and Texas ,244108
31,Montana and Idaho ,247
32,New Hampshire Maine Vermont Delaware,28838
33,North and South Carolina ,33426
34,"Utah, Nevada, Arizona",2129
35,Total ,1582338
