,state,total
1,California,95659
2,Colorado,3539
3,Connecticut,26028
4,District of Columbia,212
5,Florida,5267
6,Illinois,135883
7,Indiana,79890
8,Kansas,13583
9,Kentucky,2564
10,Maryland,31246
11,Massachusetts,12043
12,Michigan,24208
13,Missouri,55631
14,Nebraska,13262
15,New Jersey,165968
16,New York,51011
17,Ohio,42855
18,Pennsylvania,65305
19,Rhode Island,5374
20,‘Tennessee,6251
21,Virginia,5844
22,Washington ,11917
23,West Virginia,17361
24,Wisconsin,5088
25,Alabama and Georgia,33460
26,Iowa and Minnesota,7460
27,Montana and Idaho,8276
28,New Hampshire Maine and Delaware,4449
29,Arkansas and Oklahoma,3945
30,Hawaii and Oregon,3236
31,North and South Carolina,3066
32,Louisiana and Texas,145714
33,UtahNevadaand Arizona,730
34,Undistributed ,1510
35, Total,1087835
