,state,total
1,Califomia Oregon and Washington   ,107000
2,Florida and Georgia    ,39000
3,Illinois,77600
4,Iowa Michigan and Missouri ,123000
5,Ohio and Pennsylvania,250000
6,Arkansas and Texas,164000
7,Alabama Louisiana Mississippi and Oklahoma ,46500
8,Colorado Indiana Kansas Kentucky MinnesotaNebraska Tennessee and Wisconsin ,442000
9,Connecticut Delaware Maine Maryland Massachusetts New Hampshire New Jersey New York North Carolina Rhode Island South Carolina and Vermont,200000
10,Total,1450000
