,state,total
1,California ,165377
2,Colorado,2442
3,Connecticut ,20077
4,District of Columbia ,131
5,Florida,18566
6,Georgia ,75792
7,Illinois ,148534
8,Indiana ,201572
9,Kansas,31519
10,Kentucky ,18467
11,Maryland,6762
12,Massachusetts ,2846
13,Michigan  ,29110
14,Missouri,44261
15,Nebraska  ,7591
16,New Jersey,141693
17,New York,66621
18,Ohio ,21334
19,Pennsylvania ,150557
20,Rhode Island ,4020
21,Tennessee  ,23297
22,Virginia ,5601
23,Washington ,16020
24,West Virginia  ,18704
25,Wisconsin ,16274
26,Alabama and Mississippi,14048
27,Arkansas and Oklahoma ,10551
28,Hawaii and Oregon ,12474
29,Iowa and Minnesota ,27938
30,Louisiana and Texas ,251798
31,Montana and Idaho ,947
32,New Hampshire Maine Vermont Delaware ,23859
33,North and South Carolina ,20618
34,UtahNevadaArizona  ,26
35,Tota ,1599427
