,state,total
1,California,116528
2,Colorado,4139
3,Connecticut,24567
4,District of Columbia,107
5,Florida,7866
6,Georgia,44701
7,Illinois,121600
8,Indiana,109409
9,Kansas,18728
10,Kentucky,6712
11,Maryland,25009
12,Massachusetts,9968
13,Michigan,37823
14,Missouri,41166
15,Nebraska,6918
16,New Jersey,165795
17,New York,45884
18,Ohio,22225
19,Pennsylvania,81027
20,Rhode Island,2025
21,Tennessee,7446
22,Virginia,5701
23,Washington,8147
24,West Virginia,22888
25,Wisconsin,4863
26,Alabama and Mississippi,1987
27,Arkansas and Oklahoma,7332
28,Hawaii and Oregon,3271
29,Iowa and Minnesota,9926
30,Louisiana and Texas,128717
31,Montana and Idaho,12375
32,New HampshireMaineDelaware,10172
33,North and South Carolina,3696
34,Utah Nevada Arizona,274
35,Total,1118992
