,state,total
1,Califomia Oregon and Washington   ,56200
2,Florida and Georgia    ,25600
3,Illinois,75600
4,Iowa Michigan and Missouri ,102000
5,Ohio and Pennsylvania,217000
6,Arkansas and Texas,73100
7,Alabama Louisiana Mississippi and Oklahoma ,12300
8,Colorado Indiana Kansas Kentucky MinnesotaNebraska Tennessee and Wisconsin ,641000
9,Connecticut Delaware Maine Maryland Massachusetts New Hampshire New Jersey New York North Carolina Rhode Island South Carolina and Vermont,75800
10,Various States,439000
11,Total,1720000
