,state,total
1,California,125869
2,Colorado,3856
3,Connecticut ,32638
4,District of Columbia ,154
5,Florida,10169
6,Georgia,49293
7,Illinois,148113
8,Indiana  ,119034
9,Kansas,20278
10,Kentucky ,8839
11,Maryland,22228
12,Massachusetts,6068
13,Michigan,30233
14,Missouri,47006
15,Nebraska,4551
16,New Jersey,151901
17,New York,55236
18,Ohio,20754
19,Pennsylvania,84532
20,Rhode Island,1801
21,Tennessee,11499
22,Virginia,5137
23,Washington,7643
24,West Virginia,20295
25,Wisconsin,5680
26,Alabama and Mississippi,3906
27,Arkansas and Oklahoma,8266
28,Hawaii and Oregon ,3758
29,Iowa and Minnesota,12065
30,Louisiana and Texas,177706
31,Montana and Idaho,5472
32,New Hampshire Maine Vermont Delawar ,10721
33,"North and South Carolina,",4164
34,Utah Nevada Arizona ,104
35,Total,1218969
