,state,total
1,Califomia Oregon and Washington   ,152000
2,Florida and Georgia    ,10300
3,Illinois,75400
4,Iowa Michigan and Missouri ,137000
5,Ohio and Pennsylvania,206000
6,Arkansas and Texas,89000
7,Alabama Louisiana Mississippi and Oklahoma ,11600
8,Colorado Indiana Kansas Kentucky MinnesotaNebraska Tennessee and Wisconsin ,778000
9,Connecticut Delaware Maine Maryland Massachusetts New Hampshire New Jersey New York North Carolina Rhode Island South Carolina and Vermont,138000
10,Total,1600000
