,state,total
1,California,97190
2,Connecticut,7089
3,Florida,17955
4,Georgia,32947
5,illinois,74168
6,Indiana,247391
7,Kansas,34882
8,Kentucky,28333
9,Maryland ,104
10,Massachusetts ,455
11,Michigan,26753
12,Missouri,27127
13,New Jersey,47771
14,New York,31984
15,Ohio,35762
16,Pennsylvania,162698
17,Tennessee,16675
18,Alabama and Mississippi,16131
19,Arkansas and Oklahoma,2166
20,Colorado and Nebraska,1168
21,District of Columbia Virginia West Virginia,2815
22,Hawaii and Oregon,13940
23,Idaho Montana Washington,14631
24,lowa and Minnesota,58003
25,Louisiana and Texas,121519
26,New Hampshire Maine VermontDelaware,27216
27,North Carolina and South Carolina,79391
28,Rhode Island and Wisconsin,4033
29,UtahNevadaArizona ,435
30,Total,1230732
